no;Dependen;Independen_1;Independen_2
1;0.949;0;0
2;0.5;0;0
3;0.151;0;0
4;0.35;0;0
5;0.5;0;0
6;0.151;0;0
7;0.141;0;0
8;0.151;0;0
9;0.144;0;0
10;0.091;0;0
11;0.081;0;0
12;0.301;0;0
13;0.301;0;0
14;0.144;0;0
15;0.151;0;0
16;0.141;0;0
17;0.251;0;0
18;0.45;0;0
19;0.101;0;0
20;0.251;0;0
21;0.161;0;0
22;0.151;0;0
23;0.141;0;0
24;0.051;0;0
25;0.144;0;0
26;0.151;0;0
27;0.141;0;0
28;0.101;0;0
29;0.144;0;0
30;0.201;0;0
31;0.051;0;0
32;0.5;0;0
33;0.101;0;0
34;0.35;0;0
35;0.4;0;0
36;0.201;0;0
37;0.101;0;0
38;0.151;0;0
39;0.144;0;0
40;0.201;0;0
41;0.5;0;0
42;0.201;0;0
43;0.301;0;0
44;0.141;0;0
45;0.151;0;0
46;0.141;0;0
47;0.251;0;0
48;0.5;0;0
49;0.101;0;0
50;0.151;0;0
51;0.38;0;0
52;0.301;0;0
53;0.121;0;0
54;0.101;0;0
55;0.144;0;0
56;0.101;0;0
57;0.121;0;0
58;0.5;0;0
59;0.301;0;0
60;0.101;0;0
61;0.151;0;0
62;0.101;0;0
63;0.5;0;0
64;0.131;0;0
65;0.141;0;0
66;0.151;0;0
67;0.251;0;0
68;0.141;0;0
69;0.5;0;0
70;0.5;0;0
71;0.141;0;0
72;0.141;0;0
73;0.699;0;0
74;0.5;0;0
75;0.021;0;0
76;0.151;0;0
77;0.101;0;0
78;0.5;0;0
79;0.201;0;0
80;0.5;0;0
81;0.301;0;0
82;0.5;0;0
83;0.141;0;0
84;0.5;0;0
85;0.5;0;0
86;0.141;0;0
87;0.121;0;0
88;0.699;0;0
89;0.5;0;0
90;0.051;0;0
91;0.176;0;1
92;0.201;0;1
93;0.5;0;1
94;0.5;0;1
95;0.201;0;1
96;0.5;0;1
97;0.201;0;1
98;0.151;0;1
99;0.151;0;1
100;0.151;0;1
101;0.5;0;1
102;0.101;0;1
103;0.151;0;1
104;0.151;0;1
105;0.201;0;1
106;0.151;0;1
107;0.076;0;1
108;0.201;0;1
109;0.176;0;1
110;0.151;0;1
111;0.5;0;1
112;0.301;0;1
113;0.5;0;1
114;0.5;0;1
115;0.251;0;1
116;0.251;0;1
117;0.251;0;1
118;0.5;0;1
119;0.4;0;1
120;0.4;0;1
121;0.151;0;1
122;0.5;0;1
123;0.5;0;1
124;0.151;0;1
125;0.5;0;1
126;0.226;0;1
127;0.151;0;1
128;0.141;0;1
129;0.151;0;1
130;0.201;0;1
131;0.201;0;1
132;0.076;0;1
133;0.475;0;1
134;0.071;0;1
135;0.5;0;1
136;0.126;0;1
137;0.251;0;1
138;0.141;0;1
139;0.251;0;1
140;0.201;0;1
141;0.5;0;1
142;0.5;0;1
143;0.5;0;1
144;0.5;0;1
145;0.5;0;1
146;0.4;0;1
147;0.126;0;1
148;0.4;0;1
149;0.5;0;1
150;0.151;0;1
151;0.5;0;1
152;0.5;0;1
153;0.5;0;1
154;0.076;0;1
155;0.201;0;1
156;0.6;0;1
157;0.5;0;1
158;0.5;0;1
159;0.126;0;1
160;0.126;0;1
161;0.301;0;1
162;0.151;0;1
163;0.016;0;1
164;0.126;0;1
165;0.201;0;1
166;0.5;0;1
167;0.151;0;1
168;0.051;0;1
169;0.5;0;1
170;0.5;0;1
171;0.301;0;1
172;0.201;0;1
173;0.35;0;1
174;0.5;0;1
175;0.849;0;1
176;0.151;0;1
177;0.5;0;1
178;0.301;0;1
179;0.5;0;1
180;0.181;1;0
181;0.131;1;0
182;0.151;1;0
183;0.141;1;0
184;0.201;1;0
185;0.144;1;0
186;0.4;1;0
187;0.281;1;0
188;0.051;1;0
189;0.144;1;0
190;0.5;1;0
191;0.144;1;0
192;0.021;1;0
193;0.141;1;0
194;0.144;1;0
195;0.146;1;0
196;0.141;1;0
197;0.101;1;0
198;0.141;1;0
199;0.011;1;0
200;0.131;1;0
201;0.144;1;0
202;0.141;1;0
203;0.141;1;0
204;0.151;1;0
205;0.144;1;0
206;0.144;1;0
207;0.151;1;0
208;0.151;1;0
209;0.151;1;0
210;0.141;1;0
211;0.151;1;0
212;0.301;1;0
213;0.201;1;0
214;0.161;1;0
215;0.301;1;0
216;0.101;1;0
217;0.151;1;0
218;0.4;1;0
219;0.301;1;0
220;0.101;1;0
221;0.101;1;0
222;0.5;1;0
223;0.151;1;0
224;0.101;1;0
225;0.151;1;0
226;0.141;1;0
227;0.051;1;0
228;0.201;1;0
229;0.031;1;0
230;0.101;1;0
231;0.151;1;0
232;0.051;1;0
233;0.141;1;0
234;0.201;1;0
235;0.151;1;0
236;0.141;1;0
237;0.051;1;0
238;0.031;1;0
239;0.141;1;0
240;0.201;1;0
241;0.141;1;0
242;0.141;1;0
243;0.699;1;0
244;0.141;1;0
245;0.141;1;0
246;0.144;1;0
247;0.151;1;0
248;0.301;1;0
249;0.141;1;0
250;0.201;1;0
251;0.151;1;0
252;0.051;1;0
253;0.101;1;0
254;0.141;1;0
255;0.101;1;0
256;0.141;1;0
257;0.201;1;0
258;0.6;1;0
259;0.151;1;0
260;0.101;1;0
261;0.151;1;0
262;0.011;1;0
263;0.141;1;0
264;0.5;1;1
265;0.5;1;1
266;0.151;1;1
267;0.151;1;1
268;0.5;1;1
269;0.201;1;1
270;0.4;1;1
271;0.251;1;1
272;0.301;1;1
273;0.176;1;1
274;0.251;1;1
275;0.35;1;1
276;0.161;1;1
277;0.226;1;1
278;0.176;1;1
279;0.211;1;1
280;0.5;1;1
281;0.5;1;1
282;0.276;1;1
283;0.126;1;1
284;0.4;1;1
285;0.101;1;1
286;0.096;1;1
287;0.301;1;1
288;0.176;1;1
289;0.176;1;1
290;0.326;1;1
291;0.126;1;1
292;0.146;1;1
293;0.201;1;1
294;0.051;1;1
295;0.151;1;1
296;0.35;1;1
297;0.151;1;1
298;0.5;1;1
299;0.301;1;1
300;0.251;1;1
301;0.151;1;1
302;0.5;1;1
303;0.251;1;1
304;0.201;1;1
305;0.5;1;1
306;0.151;1;1
307;0.201;1;1
308;0.251;1;1
309;0.201;1;1
310;0.061;1;1
311;0.4;1;1
312;0.5;1;1
313;0.5;1;1
314;0.251;1;1
315;0.326;1;1
316;0.141;1;1
317;0.151;1;1
318;0.201;1;1
319;0.151;1;1
320;0.216;1;1
321;0.141;1;1
322;0.276;1;1
323;0.161;1;1
324;0.151;1;1
325;0.151;1;1
326;0.4;1;1
327;0.151;1;1
328;0.146;1;1
329;0.276;1;1
330;0.151;1;1
331;0.066;1;1
332;0.151;1;1
333;0.151;1;1
334;0.151;1;1
335;0.57;1;1
336;0.251;1;1
337;0.301;1;1
338;0.5;1;1
339;0.101;1;1
340;0.126;1;1
341;0.141;1;1
342;0.151;1;1
343;0.151;1;1
344;0.146;1;1
345;0.151;1;1
